[00:00.230] 在我们的风险单子在哪呢？
[195:56.640] 中午就直接回家了，然后大哥周三过来时候我再把手机交给您，
[196:01.690] 然后再把跟上，然后的话后边
[196:06.110] 第一豆皮儿，
[196:07.420] 这里的时候我打电话
[196:09.490] 没什么可惜的。
[196:13.720] 我的特点
[196:16.170] 我说过大家
[196:19.450] 因为我今儿好多人写这个东西，这什么放在这儿，
[196:23.160] 不照模范煮饭吗？桌上要会有点
[196:28.670] 这50块
[196:31.050] 很多
[196:33.680] 好朋友，
[196:34.860] 很多东西我将来要离开，把它利用我追唯一留恋就是咱们餐厅的饭，
[196:39.480] 有草，
[196:41.030] 有点不太更多S是不是大爷在这就有点半天，不知道爷们下午怎么交代的时候怎么想留恋你。
[196:48.840] 谁知
[196:50.620] 我去这么多4S店，
[196:52.400] 我没有有人
[196:55.260] 不过对没有说火车有这么丰富让你选择的，
[196:59.010] 反正就这两种不对，唯一可能让我们还没有这样的，
[197:06.440] 只能跟其他的比较。
[197:09.550] 吃药不是感动，我突然
[197:12.340] 其实我想是那个地方的，但是他还没打一线，目前。
[197:18.070] 叫什么来着？
[197:19.280] 鸭血粉丝汤要鸭血粉丝
[197:23.340] 这样结合
[197:28.040] 活动以为是杨长
[197:45.390] 挺好的，今天做的挺好的。
[197:50.580] 其实咱不吃了，因为啥也没有了。
[197:53.200] 对，不是你吃不上，不一会就让接过了。
[197:57.790] 也
[198:00.870] 我这叔叔把他的销售额从原来40多，我现在变成20多。
[198:04.670] 对，早就是。
[198:07.460] 最终原先到40多，它有40多30四33差不多，最多43，对一直还是我刚才问我借了4个人，我们现在他8个人回家了26 40多，
[198:20.640] 我眼中一直以为是30万43个销售主管，
[198:27.830] 这一半
[198:29.990] 我们刚才20多个
[198:33.820] 的
[198:36.420] 谁知
[198:40.400] 一面
[198:49.760] 管理还是有问题。
[198:52.040] 这个问题
[198:53.600] 为什么我大的
[198:59.640] OK
[199:00.400] 说到做到。
[199:01.720] 等一下唱。
[199:05.370] 你知道吗？销售部分不是不努力，不是不想卖车，
[199:09.460] 事儿太多，
[199:11.220] 你吃饭的时间都他妈给，
[199:13.360] 对吗？
[199:14.500] 才能提高为今天一般当个数怎么样？喊着催着赶着，
[199:22.710] 那两表没干嘛就干嘛。
[199:25.370] 别bb了，他们对口办，
[199:28.500] 好好干，
[199:37.150] 你动不动干不干？
[199:38.640] 你们干不干你说。
[199:44.610] 但是还是不知道写下来我来了。
[199:47.040] 不好，你不吃完了吗？你们都走了，
[199:53.590] 回去他要走了，谁知
[199:57.660] 你表生态，
[199:59.530] 可是挣5块钱就黑，
[200:02.330] 了。
[200:03.950] 可以不良那没钱了，对项目。
[200:08.210] 在街上开会时间。
[200:10.300] 云开会语音识别，
[200:16.830] 其实都有送花问问听明白。
[200:23.870] 没有信任了。
[200:27.140] 我应该是早上现在也没什么闲着，
[200:30.460] 有事还没办完，
[200:32.330] 然后这事就不干呢，
[200:34.640] 客户一投诉就是你的事，
[200:41.250] 这个宾馆吗的包括特殊
[200:44.850] 内容，
[200:45.820] 然后对他们来说是可办怎么办？
[200:48.540] 希望关心的太多，你们还不闲着，
[200:53.000] 完成
[200:54.490] 二你了就。
[201:05.660] 用
[201:13.640] 我跟他说，
[201:23.980] 收到。
[201:29.450] 我在后面下台两分钟到附近开台。
[201:33.680] 接着说。
[201:34.890] 来接回去。
[201:37.190] 肯定有，庐山肯定用墨笔出了问题了。
[201:42.960] 还有有保养送那么多。
[201:44.760] 华远中的还没弄明白，保险保养充满了就瞎捣蛋。
[201:52.830] 作为那时候怎么查不着？
[201:56.330] 孩子找不着，
[202:07.240] 我报备了客户来提车，
[202:14.110] 被砸了。
[202:18.640] 月
[202:26.270] 上班的时候都不是
[202:29.140] 不用度量，
[202:31.130] 不是制定。
[202:34.710] 现在那边吗？
[202:36.560] 现场别走负责。
[202:40.760] 你们发生规模，然后挺好的东西没吃完。
[202:48.170] 运作的
[202:49.840] 二
[202:51.680] 节目
[202:53.160] 二
[202:57.200] 啥没有。
[202:58.720] 上回tmd
[203:11.210] 一
[203:13.240] 的。
[203:21.790] 了
[203:26.750] 了。
[203:30.600] 到了
[203:36.150] 花
[203:37.400] 花的钱水晶不到，拿出来说白来得了，
[203:41.760] 8人说三两千转转掉了，
[203:46.140] 配送哪些人水花是不是之前时间哪些？
[203:51.480] 他虽然有个地方
[203:53.020] 他更加注重配送，他们感谢信拿这个来了，
[203:59.790] 回家睡觉一下，
[204:04.240] 客户说的关注了，
[204:07.740] 晚上
[204:09.570] 没事他打过电话了，我们投就来找我了好吧？
[204:16.110] 没事。
[204:22.460] 刚才如果说都不好意思跟你们说，
[204:47.040] 我念说去。
[204:50.970] 零点需要什么东西？
[204:55.390] 0.2吗？
[204:57.480] 装水平大概两点。
[205:00.120] 翻一翻行驶证，违章都消了就行。
[205:10.600] 大
[205:12.760] 交强险应该这边有
[205:17.680] 这么快96年了。
[205:20.480] 我情况
[205:54.070] 下来挺大。
[205:58.310] 你说的
[208:52.790] 咱们第一次聊天吗？
[208:54.020] 有没有阅过也可以上套没有，我主要看一下，谢谢。
[209:13.970] 780门去了，
[209:16.520] 来。
[209:17.570] 他那边就能走，装完了
[209:19.960] 要明天去说去
[209:22.290] 取车让他把记录仪教你怎么用。
[209:26.660] 记录仪怎么用从这儿过来。
[209:30.720] 有没有？
[209:32.120] 走？
[209:38.090] 回来就回去了，没事了。
[209:44.440] 然后到时候约的时间，
[209:47.370] 如果就跟尾号也得那什么，如果跟尾号如果你约的是你尾号那天就没法开回来了是吧？
[209:56.730] 哪个？
[209:58.720] 比如说你。
