[00:00.340] 七夕打仗了叫什么要。
[134:48.420] 不是我是让他。
[134:50.460] 你看看他的手机，
[134:53.490] 我去照他一下，叫他。
[135:48.520] 怎么着？
[135:49.410] 要跟我打电话了，我刚才说了，
[135:52.470] 你告诉他。
[135:53.280] 抽奖打电话。
[135:58.370] 了。
[136:01.550] 点头了。
[136:04.570] 加班了，明天还得开会。
[136:10.730] 明天不休息，
[136:13.290] 还没不知道有什么事。
[136:20.450] 你怎么样在这干嘛？
[136:23.040] 还行。
[136:25.950] 你什么毕业？大学毕业在大学毕业。
[136:30.100] 你学什么？
[136:31.180] 学设计的，学什么设计就是一些室内这些，然后你为什么不去
[136:38.990] 装饰装潢那些东西，
[136:42.390] 你觉得哪个来比较辛苦？
[136:46.180] 怎么说那块主要是针对电脑什么的，就是装饰。
[136:52.990] 现在也不好做。
[136:54.730] 也不好做了在。
[136:56.260] 而且你装饰成什么，你且跟人沟通了，设计师，
[137:06.800] 然后身份证您可以收起来了，不用了用不到了。
[137:10.620] 给收起来了，复印要复印。
[137:27.800] 他得自己。
[137:33.000] 反正在这你也得注意点安全。
[137:35.680] 对，今天我回来我都也快回去了，天天没事搁这就洗手，然后拿
[137:41.730] 拿那什么东西。
[137:43.850] 因为这也属于接触人比较多。
[137:54.470] 他打电话了吗？打完了没有？
[137:56.960] 可能在抽烟。
[137:59.230] 没关系没，你稍等一下，没事爱抽烟人我就为这我挺烦的那种。
[138:05.660] 原来不会超，后来不知道怎么就跟抽烟的人在一块，他老让你抽你知道对。
[138:13.720] 这的确是。
[138:17.290] 抽烟的确对身体不好，确实真的对身体不好，这是而且你不抽烟的人你们身上。
[138:23.600] On来各位。
[138:24.510] 挺反感的，对我老为抽烟跟他急知道吗？
[138:29.640] 老就是那么得到，但他自己是问不到的感觉。
[138:32.430] 我想不到对她原来不重，就后来
[138:36.210] 30多快40才抽了30多岁出来了。
[138:41.600] 我儿子现在让他给带的也抽烟，
[138:46.090] 毕业的时候孩子一上大学，那男孩子也不行，
[138:50.180] 也学抽烟了，你要说他给带的也不是，他带上大学以后他好对上大学对。
[138:57.400] 可能是上大学抽，大家也会抽烟什么的也正常，他们这事管你们住房还是什么管不管。
[139:05.650] 什么都是自己的，都是自己。
[139:07.630] 我觉得你要学设计的，
[139:10.250] 跟这个还是挺好的，
[139:12.470] 等于不是自己的本行了，
[139:15.350] 但有的时候心理压力会大一点，
[139:18.280] 因为会有很多任务，烤鸭有任务有好多的。
[139:22.950] 我要卖不出去怎么办？
[139:27.070] 你是提炒菜什么？
[139:28.660] 淘汰掉了。
[139:29.880] 行，还有什么条件呢？
[139:33.210] 你保证你的工资吗？不保证你卖的话有钱就卖的，好就拿工资就高，你前一段时间一集的时候都不让你们开那种。
[139:46.300] 没办法还不到。
[139:49.200] 大家都卖不出去对吧？没有客户来看车吗？不管。
[139:54.930] 对，二三月份是什么？
[139:59.360] 对。
[140:00.530] 没事稍等一下吗？
[140:04.820] 他在这干嘛了？
[140:12.690] 你告诉他出去了。
[140:14.140] 我跟先生说了。
[140:30.590] 你妈妈他们还都在那。
[140:33.910] 都在老家，对，我爸妈还是在网站，对，我爸妈在老家。
[140:39.880] 但是
[140:40.900] 你快点让你抽奖了，赶紧的。
[140:43.790] 没事知道你别人家着急了还没事儿。
[140:48.560] 不是，我怕你到时候
[140:50.330] 弄完了你还可以接点活。
[140:53.280] 都不容易，但是
[140:59.840] 所以理解是吧在理解万岁进来了吗？
[141:03.810] 了，等着你那精神上午谁袁直播他给我来电话。
[141:12.590] 您说。
[141:14.830] 他来电话完了就问我，我问他就是质疑，
[141:18.470] 你就跟我说你的价格，
[141:20.220] 他不是那个直播时候不报，
[141:24.910] 我就说价格，
[141:26.850] 他说稍等5分钟我给你回电话，
[141:31.160] 说咋办？
[141:36.720] 他给您报完了吗？还没报。
[141:38.470] 没那我等等。
[141:39.360] 电话看完报多少，这质疑有他也没有胎压监测吗？
[141:45.520] 大家纷纷都有都有这些。
[141:48.270] 我在这看配置里边，
[141:51.580] 支援里头明确把胎压监测拎出来。
[141:54.780] 应该都有，它监测不可能少，这个应该没有。
[141:58.040] 无非是一个显示，一个是报警。
[142:00.670] 他可能这个应该是都有的。
[142:03.930] 我跟你说说明穿越是吗？
[142:07.040] 还有
[142:12.240] 猜测这这个应该不会有什么差别。
[142:15.920] 比如说现在各家4S店。
[142:19.060] 看了一家还回访，完了给他留一个保障。
[142:23.500] 不是他回访你干嘛，他就让你去他们家买东西，不是回访是吗？
[142:30.030] 抵押。
[142:31.170] 你说我们已经买这个了跟他说。
[142:36.160] 我不买我急了肯定。
[142:38.000] 奥迪咱家不有一辆都尝试一下是吧？看那个歌。
[142:44.010] 对，他说5分钟给您回电话是吗？
[142:47.590] 万一报一个优惠12万。
[142:50.200] 我都不拦着您，真的你看人家都出来的，因为你要说这一下差1万多块钱的对吧？
[142:58.290] 后谁知
[143:00.910] 奥迪他到不了品牌，完以后这不也是
[143:05.090] 也是墨子
[143:12.370] 现在。
[143:13.300] 只不过。
[143:14.800] 你跟他说你
[143:18.560] 要不然您要是觉得不死心，就给他打过去就得了。
[143:23.440] 对，然后人家小吃咱们也得赶着下午还有雨。
[143:28.270] 对，进而有可能。
[143:29.840] 其中有报警，
[143:31.320] 这两天一直就阵雨来回的下午，
[143:34.170] 你们多少钱？我看他们不少工作人员
[143:38.070] 销售10了。
[143:40.340] 是吗？对30。
[143:42.960] 你们分组吗？
[143:44.840] 目前没有分组，因为我们这人不算多，原来不是有种吗？我记得一个15一个小组一小组的，他们那水就是店里人比较多，知道。
[143:56.450] 然后我们市场经理回来得先抽奖，还是你先等他电话你。
[144:00.580] 稍等一下，我们抽奖给拿走了，到时候他给我真甩低价出来，你说我咋弄？
[144:06.060] 要不然这么着您就给他打一电话，您说一下，因为咱这么着，咱等着他说5分钟给您回，他不一定什么时候给您回的。
[144:14.150] 你赶紧把咱们弄，不是我看看这个还要报警。
[144:21.110] 没法。
[144:22.170] 我跟他先说一下质疑，我还真没有仔细研究它的配置。
[144:26.770] 质疑是吗？就咱们买的。
[144:31.280] 你要是人家那边给你那什么，你跑到那去了，
[144:37.500] 您就便宜几千块钱换个电脑，他说
[144:41.650] 你把庄那块拿过来。
[144:46.340] 哪个部分？
[144:48.570] 你刚才看了他有个说明书。
[144:57.790] 谢谢。
[145:08.140] 你要掌握有。
[145:10.320] 第二你美女莉哪一种有那就找到了，还有胎压报警了，
[145:16.330] 有胎压监测。
[145:17.900] 还有监测不是显示。
[145:21.050] 这是质疑的话。
[145:23.560] 直接开。
[145:26.890] 你给他打过去了，他这一了，
[145:29.530] 完了来了我就退货。
[145:32.900] 行，你给我如果你要蒙我，
[145:36.370] 您放心，我不会蒙你的，我帮你干啥对不对？
[145:40.180] 你看还是我等了，你跟他便宜下，对，然后您看一下。
[145:46.330] 对订单上高中，然后这块您的一个车辆给您先看看下面万，至于豪华是吧？
[145:54.850] 黑色
[145:55.910] 黑车，然后棕色的一个
[145:58.370] 座椅，
[145:59.470] 棕色桌椅，
[146:01.640] 然后车辆售价为283900130，对，然后您看一下其他约定那个地方。
[146:08.800] 这叫吗啡是吧？对马老黑。
[146:11.970] 就一种含义，其实对黑色就相当于7折是吧？
[146:17.350] 29.54。
[146:20.910] 你看一下其他约定那个地方。
[146:24.230] 你叫陈文静，对陈文静有关。
[146:28.100] 文静明白听清楚的人生店内分期
[146:32.660] 案件
[146:34.090] 自购威固膜，
[146:37.380] 狡辩就是脚垫后仓垫护板、行车记录仪。
[146:42.120] 陈模。
[146:43.100] 283,000是吧？对然后还有三次A保3C我给您录到系统里了，然后这个地方没写再我给您手写一下车模，我刚跟你说的车模是吧？
[146:55.220] 你看我提了半天你才给我，我要不说你不主动
[147:00.200] 看你老让他不是这个事情是这样的，我们这个是没有任何的这样赠送的，也是我刚跟我们销售经理说了，
[147:07.990] 然后我说谁知
[147:10.860] 对，然后我说什么特别想要这么一个车模小车。
[147:16.290] 对，不是家里摆了一溜车模，对你原来那给吗？
[147:20.600] 给他写到这儿不太好，我就给您申我这个特殊申请的，平常我们真没有这车，要是你了
[147:27.800] 月底交车。
[147:30.040] 月底前。
[147:31.710] 收费，对，只是预计去车，到了车到了肯定就交车了。
[147:37.800] 对。
[147:40.080] 你
[147:41.690] 你刚才给问就是说办把还没问，等回头给他问就行，那不着急给你打电话问他们。
[147:50.720] 底下这些其实都是一些类似于
[147:54.270] 制式的一个东西，对，然后我这块我给您写一下，那三次被A宝我已经给他弄到系统里了，我跟您说一下。
[148:03.190] 有效期多长时间，什么样档次？
[148:06.670] 没有有效期。
[148:10.160] 系统了那么多了是吧？对，您想什么时候用什么时候用，还需要干嘛，咱去交款。
[148:17.100] 对在交款。
[148:19.550] 等着份您说好就行了，这边这个的女生
[148:22.320] 1是吧再交1万定金，这是什么？我收起来的银行手续费那些
[148:29.330] 么。
[148:29.870] 那都是跟车到了以后一起，对向车道一起，今天您得去报了在这，行，那您稍等一会。
[148:36.190] 您在那稍走的。
[148:38.080] 别给我，您就给我。
[148:40.480] 还给身份证我给你了。
[148:44.570] 今天你当然没拿再生照，我还就能验证对。
[148:51.560] 完了
[148:57.850] 咱交款的话在这边跟售后在一起，
[149:08.440] 然后咱这摩的话是微步的一个贴膜，
[149:12.110] 然后都是质量比较好的，包括跟前面奔驰保时捷，我们都是在同一个车间进行施工。
[149:19.090] 我调整好几次也一不和了，对这个东西因为是不一样的，这门接着上这种东海是沃尔沃的观众发生
[149:29.370] 这是S60不是刚出的颜色，好像也不是，反正但这个颜色比较少，别的小孩比较少。
[149:37.490] 最新出的一个颜色。
[149:44.120] 然后这边就是沃尔沃的一个
[149:46.560] 后车间就在
[149:52.010] 善人说
[149:58.520] 刚才有一个垫付证明，我写一下。
[150:01.330] 贷款
[150:02.290] 垫付证明。
[150:04.820] 对公司本人是吗？对物质本身，然后本人来了在那边住。
[150:11.390] 找到人了。
[150:12.740] 卡不是本人，对，我就光写个店铺就得了对吧？
[150:17.070] 本人来了，
[150:41.410] 下次刷卡的话，
[150:45.260] 您尽量刷女士的。
[150:48.290] 查询那也行都行，就在几个店证明千。
[150:53.790] 千
[151:01.080] 写垫付更多，对，需要您代他付款，代他付多少钱？
[151:06.030] 你问问他报废。
[151:07.670] 我给你打电话问，对我给打电话了，因为那个肯定是店里没法
[151:12.470] 那啥我就找人
[151:15.360] 现在电话。
[151:17.490] 垫付方式您被垫付方对这个事儿
[151:20.660] 该店面这边我也签一下他的名字，
[151:26.440] 然后我拿错身份证复印件，完了还得印一下线，您的身份证我用一下我给念一下，刚才没拿过来，我拿了两张。
[151:34.960] 原来是你吗？
[151:37.620] 什么疑问吗？对。
[151:40.840] 我给你方法来看一看我们该怎么做对。
[151:46.250] 芯片谈的不是实现
[151:54.510] 密码
[152:35.930] 这句话，
[152:41.140] 谁知
[152:42.940] 谁知
[152:48.800] 交给他了。
[152:50.530] 谁知
[152:53.600] 的
[152:59.110] 不确定的对吧？到
[153:04.190] 拿给你们，
[153:06.660] 这个完了给
[153:08.120] 承认了是吧？可以了没问题了，您把收据收好，下次过来的时候一定要想带着。
[153:14.670] 停车的时候您。
[153:16.350] 这不是用吗？
[153:18.070] 下回来就发送了。
[153:22.890] 杀出去了。
[153:24.370] 然后上班还有鸭脖，就这种。
[153:31.620] 黑的。
[153:32.770] S90的事都是黑的还是9的都是黑色，而且对那都是S16。
[153:38.560] S90都是黑色的。
[153:42.590] 对老婆应该处理。
[153:44.800] 他女装也不很多S店吗？
[153:47.480] 几乎所有顺便摔了全都是吗？他们管饭店街道妈妈里头就给他
[153:57.390] 车模是吧？
[153:58.690] 小两
[154:00.700] 的。
[154:04.720] 对，比方说那边还好，现在都已经拍完了，都拆了，就是一个宝马了，因为我就住在那边。
[154:11.420] 我给拆了。
[154:14.450] 我那天路过应该是拆了。
[154:17.260] 我之前做的都住那边。
[154:21.590] 奥迪也开了，对好开。
[154:24.140] 王教授也说了，
[154:26.070] 然后拿了那边一流
[154:28.350] 丫头。
[154:30.000] 刚刚
[154:43.300] 我那个流线型没有，你这边好像没有。
