[00:00.500] 631、梁羽生。
[199:02.530] 或者他们可能再买一个差不多跟差不多的，然后他媳妇开车上加送孩子上下，
[199:08.430] 谁知
[199:09.670] 到时候如果你还在这里还得找你。
[199:13.720] 行，差不多就是这样，明白了，你对到时话跟您说了。
[199:20.160] 然后我这边的话其实还差
[199:24.260] 他那边的知识信息，反正配偶信息还有什么要，它不是这样一个身份证号一个手机号吗？
[199:30.960] 他幸福
[199:32.110] 姓名我知道，叫一个姓名。
[199:34.720] 份证号和手机号还有的同事，他媳妇现在的我记得是太紧张了，
[199:45.190] 照片，对，然后
[199:47.980] 他那属于自己的特别好，不粘剂的使用。
[199:50.480] 他自己的手机号我都能给你，那行，那就是差一个，还有的太的他的手机身份证都给我了，可以就行行。
[200:00.970] 身份证是不在你这是吧？
[200:03.160] 不在您出差带走了，你也
[200:06.430] 你们连线都有什么都比如说赠送这些乱七八糟的，你都能给我掌握，不能找他咱们什么样的。
[200:18.030] 其实也没什么。
[200:20.070] 我觉得去年
[200:21.460] 什么时候反正有一个什么
[200:23.560] 孙辉那边的时候经常的
[200:26.360] 看一些那些东西，比如从高压锅的建立有礼品都是
[200:32.970] 装就是反的鳞片。
[200:36.820] 什么我记得常星辉有一个那种电动自行车没有。
[200:43.870] 估计也没找着贵好几。
[200:46.760] 他打的是奔驰的标，
[200:48.380] 是吧？还有刚才好多人提那个完了还有什么？
[200:55.990] 比如风扇，
[200:58.150] 这样的，因为这些无业的的，但不是诞生的，我知道。
[201:03.440] 耳机有些您是要试机的，然后风扇的，
[201:07.900] 有高压锅的，
[201:10.300] 确实让他们自己去
[201:13.380] 吸引不了。
[201:15.010] 这东西给你行，这值钱吗？
[201:19.170] 电话。
[201:20.560] 对，你好像电话挺贵的，不要物业的就有风的那种，对空的完了没有夜也挺好挺对那两条。
[201:30.370] 高没有。
[201:32.040] 之前
[201:33.110] 我就仓库硬伤。
[201:34.800] 行你抓紧。
[201:38.200] 行行的。
[201:40.510] 让他们明白了。
[201:43.080] 现在接送是吧？
[201:47.510] 你还得交钱。
[201:51.000] 了
[201:55.720] 明天你看几点你中午。
[201:57.730] 周末办不了，对。
[202:01.370] 你们商业的周末还不是应该是周末才开始才干嘛，周末都是接待。
[202:08.320] 接待接不过来。
[202:10.370] 明天不是没来，有没有排队？
[202:13.210] 周末主要是接待我们，谁知周末不上班，周末时间
[202:20.070] 交定金，
[202:21.560] 他们就比较进行小额，
[202:23.920] 就是说你没定金就反思了，
[202:26.540] 让我爹什么也没想，之前这退不出来，进不去的那我了不就亏了，可能
[202:33.450] 随着I合适，您定金
[202:36.300] 定金
[202:37.320] 给您留。
[202:38.540] 准备谈好的约定牛车这个情况，咱们就是说我现在要决定不要了，就这个意思吧。
[202:45.160] 是不退的吗？
[202:46.850] 车我们在这一周之内
[202:48.600] 也卖不了别人，因为在宁夏就暂时挂着是没有拍照，这车为什么不在外面长？
[202:54.530] 为什么说Y
[202:55.800] 就在这里，
[202:56.840] 这样就
[202:58.730] 助理不大。
[203:01.030] 这是
[203:03.130] 你保养的推车的。
[203:04.920] 你们那车咱们的父母
[203:07.200] 还有
[203:08.060] 园区挺大的。
[203:11.040] 行吧？
[203:12.000] 行回去商量。
[203:13.480] 我去我总这样。
[203:18.640] 行就这样，行行，我先忙着，好，你马上去开车来的。
[203:22.750] 对，扫一二维码前台。
[203:24.700] 我就不送二位了。
[203:26.450] 明天大概几点？
[203:28.040] 咱们晚上说一下。
[203:29.590] 行，待会我等你就让你这么一弄，我都今天有5天，明天还得
[203:36.670] 我这安排好了，你看我这个是天天上午就要提早休息，
[203:41.960] 最迟下午5点，
[203:45.520] 晚一点好回家吃饭上是吧？
[203:51.030] 对。
[203:52.780] 好，你要是晚点能行，我先去下午回来给你办这事儿。
[203:59.160] 就先上单位去一趟，下午
[204:02.370] 咱们分两两批，一天都能交两个车，
[204:05.830] 一个是上午9点，一个是下午12:30~1:00，
[204:09.790] 你看你哪个方便需要三个小时左右的时间。
[204:14.140] 办证手续对。
[204:15.570] 还要讲究功能。
[204:18.190] 怎么样？您看看这两个点你要只能选下了，明天还真你要是你下午就跟另外一首，我跟他说上午到这来，
[204:26.870] 你不是就一个车吗？
[204:29.900] 都是什么颜色？
[204:31.760] 是人家买的不是你这路口，别的客户不是对别的客户今天也是人家上午看没记住来办临牌，下午客户都到了，别买，谁知这个型号不是这车，这吗？
[204:45.440] C260明天上午
[204:47.880] 260北京
[204:49.560] 在北京。
[204:50.280] 家里
[204:51.310] 要来联盟的。
[204:53.630] 您今儿跟我说好了以后，我还跟他回顾一下，我晚上告诉你，
[204:58.420] 他完全肯定没时间不行让你小姨来给提，
[205:02.610] 明天不提肯定不提，那交钱就交款，但是分期走的我都
[205:09.420] 好，你是不是也得等人家审核对吧？你审核他也得等审，我交完了得审核，然后拿着身份证来了才能汽车，因为现在80房，
[205:21.050] 所以没有不存在那个问题，就是焦点。
[205:23.600] 对，就交钱了，交钱然后你就跟我有关系，对你有关联。
[205:28.400] 现在
[205:30.520] 两个地方。
[205:31.850] 两个点，一个是早上9点，
[205:34.750] 一个是下午3:30~1:00，
[205:36.910] 第4.8
[205:37.950] 半分钟
[205:38.800] 推荐一个人，
[205:40.020] 挫背G系列。
[205:41.960] 寄还要推荐吗？那就尽管
[205:44.170] 我不是那大方靠什么GLAGLC什么，我吓了一跳，我继续接触一款，谁知一个车现在不用这些。
[205:55.580] G系列的，晚上多少钱，
[206:00.000] 你多少价位的？
[206:01.410] 百战百胜。
[206:02.860] 265 60你就买交C85 60是一个比较尴尬的，
[206:09.960] 经常C40多，
[206:12.060] 交易
[206:14.230] 80万七七十多块钱，他们俩都差很多进行对。
[206:19.500] 对。
[206:20.240] 第二个bl什么的？
[206:22.560] 变的。
[206:23.720] 交易是题目，
[206:28.320] 好对，进出进教室鼓掌，国产在国内对。
[206:32.380] 但国产试驾好多是进口，一部分是国产假的，
[206:37.080] 价格是87
[206:39.350] 或738,080，
[206:42.490] 按其的就基本上到80
[206:45.340] 要左右。
[206:48.250] 可以三个金。
[206:49.320] 利率3:00。
[206:52.390] 他贷款没有不像可不行，这一点不好，我少一点。
[206:58.300] 你找一个好你忙行行没事不送您了。
[207:03.390] 宁夏明天下午15:00给微信吗？
[207:06.930] 行行，因为我别跟那境外说我不太准，他那边也等着我去了，他昨天就跟我说了说下来。
[207:14.530] 中午过来我说中午你得等，因为我跟您约好了，
[207:17.940] 跟今天我收拾，我说约好了，我说您等于我就搭一下行，也听您这个要我赶紧给他行，差一点不行他的秘密。
[207:25.910] 谢谢型号年他9点肯定够够呛，
[207:31.250] 早点出来，他想起了那没办法。
[207:34.620] 行，我一会给你一会给我下。
[207:37.010] 还有。
[207:38.650] 好，您发房先让王青转群里。
[207:41.360] 行。
[207:42.160] 还有姓名、身份证号、手机号您发完先加盟先整群里行行，尽快对。
[207:48.890] 谁知。
[207:51.680] 对。
[207:52.850] 差不多了。
[207:54.370] 好。
